objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement														
D001,https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/128021,,,Cualidades y riquezas del Nuevo Reino de Granada,Vicente Basilio de Oviedo,1775,"Basilio Vicente de Oviedo, Cualidades y Riquezas del Nuevo Reino de Granada, Imprenta Nacional, Bogotá, 1930.",riqueza	 habitantes	 Nuevo Reino de Granada	 árboles	 flora	 fauna	 aves	 curatos	 geografía,Biblioteca Nacional de Colombia,,,,,,application/pdf,es,Public domain,						
D002,https://revistas.unal.edu.co/index.php/analesun/article/view/12924/16044,,,"Relación del estado del Nuevo Reino de Granada, presentado por el Excmo. Sr. Virrey Don Pedro Mendinueta a su sucesor el excmo. Sr. D. Antonio Amar y Borbón",Don Pedro Mendinueta,1803,"En Germán Colmenares. Relaciones e informes de los gobernantes de la Nueva Granada. Tomo II. Ed. Bogotá: Banco Popular, 1989.",instrucción	 educación	 minas	 comercio	 real hacienda	 militar	 artillería,,,,,,,application/pdf,es,Public domain,								
D003,https://babel.banrepcultural.org/digital/collection/p17054coll10/id/3794,,,Descripción del reyno de Santa Fé de Bogotá,Francisco Silvestre,1789,"En ""Anales de la Instrucción Pública de Colombia"" Vol. 13 (p. 56-78	 147-158, 217-238) y Vol. 14 (p. 193-227).",Santafé	 Audiencia de Quito	 descubrimiento	 comercio	 límites	 población	 Tunja	 tribunales militares	 hacienda	 indios	 reducción	 males políticos,,,,,,,application/pdf,es,Public domain,		
D004,http://www.memoriachilena.gob.cl/archivos2/pdfs/MC0043102.pdf,,,"Compendio Historico De La Provincia, Partidos, Ciudades, Astilleros, Rios, Y Puerto De Guayaguil En Las Costas De La Mar Del Sur",Dionisio de Alsedo y Herrera,1741,"En Alsedo, D., & Martínez, E. J. (1741). Compendio historico de la provincia, partidos, ciudades, astilleros, rios, y puerto de Guayaquil en las costas de la mar del sur. M. Fernandez.",puerto	 Guayaquil	 pirateria	 topografía	 comercio	 productos	 fauna	 flora	 barcos	 arquitectura	 demografía	 historia,,,,,,,application/pdf,es,Public domain,			
D005,https://revistas.unal.edu.co/index.php/achsc/article/view/29681/29920,,,"Descripción de la Provincia del Darién a norte y sur, medios de poblarlo al sur y discurso reflexivo sobre la conquista, por el teniente del Batallón de Panamá Don Manuel García de Villalba",Manuel García de Villalba,1787,"En Anuario Colombiano de Historia Social y de la Cultura, Número 3, p. 135-154, 1965.",ríos	 poblaciones	 poblamiento	 conquista,,,,,,,application/pdf,es,Public domain,											
D006,http://bdh-rd.bne.es/viewer.vm?id=0000129885&page=1,,,"Plano geográfico e hidrográfico del distrito de la Real Audiencia de Quito y descripciones de las provincias, gobiernos y corregimientos que se comprenden en su jurisdicción, y las ciudades, asientos y pueblos que ocupan sus territorios",Dionisio de Alsedo y Herrera,1766,"En Biblioteca Nacional de España, Sede Recoletos.",geografía	 hidrografía	 provincias	 Quito,,,,,,,application/pdf,es,Public domain,											
D007,http://www.memoriachilena.gob.cl/602/w3-article-9536.html,,,"La perla de la América, provincia de Santa Marta. Reconocida, observada y expuesta en discursos históricos a mayor bien de la Católica monarquía, formento del comercio de España, y de todo el Nuevo Reino de Granada, e incremento de la cristiana religión entre las naciones bárbaras que subsisten todavía rebeldes en la provincia.",Antonio Julián,1787,"Julián, Antonio. 1787. La Perla de la America, Provincia de Santa Marta, reconocida, observada, y expuesta en discursos historicos.",despoblamiento	 tierras desiertas	 poblamiento	 comercio	 evangelización	 cristiandad	 historiografía	 Caribe	 indios,,,,,,,application/pdf,es,Public domain,						
D008,https://repositorio.unal.edu.co/handle/unal/2109,,,"Viaje de Quito a las Costas de Océano Pacífico por Malbucho, hecho en julio y agosto de 1803 ",Francisco José de Caldas,1803,"Caldas, Francisco. Viaje: de Quito a las costas del Océano Pacífico, por Malbucho, hecho en julio y agosto de 1803. Universidad Nacional de Colombia Proyectos Temáticos Biblioteca Virtual Colombiana Colección general. Imprenta Nacional. 1966",diario	 geografía	 evangelización	 Pacífico	 clima	 corografía,,,,,,,application/pdf,es,Public domain,									
D009,https://babel.banrepcultural.org/digital/collection/p17054coll10/id/3328,,,"Ensayo de historia americana	 o sea, Historia natural, civil y sacra de los reinos, y de las provincias deTierra Firme en la América meridional. Estado presente de la Tierra Firme.  ",Filippo Salvadore Gilii,1784,"Filippo Salvadore Gilii, Ensayo de historia americana	 o sea, Historia natural, civil y sacra de los reinos, y de las provincias deTierra Firme en la América meridional. Estado presente de la Tierra Firme.  Bogotá: Editorial Sucre, 1955.",Orinoco	 geografía	 botánica	 zoología	 meteorología	 indios	 evangelización	 misiones	 Tierra Firme	 historia natural,,,,,,,application/pdf,es,Public domain,			
D010,https://revistas.unal.edu.co/index.php/analesun/article/view/12467/13060,,,"Relación del estado del Vireinato de SantaFé, que hace él Excelentisílllo Seiíor Don Pedro Messía de la Zerda á su sucesor el Excelentísimo Señor Don Manuel Guirior. Año de 1772.",Pedro Messia de la Zerda,1772,"Messia de la Zerda, Pedro.  Relación del estado del Vireinato de Santafé. Anales De La Universidad Nacional De Los Estados Unidos De Colombia (1868-1875)	 Vol. 2, Núm. 8 (1869): Anales De La Universidad Nacional De Los Estados Unidos De Colombia (Abr. 1869)	 90-111. Anales de la Universidad Nacional de los Estados Unidos de Colombia (1868-1875), 1869.",religión	 estado eclesiástico	 hacienda	 gobierno	  administración de justicia	 guerra,,,,,,,application/pdf,es,Public domain,							
D011,https://digital.library.pitt.edu/islandora/object/pitt%3A31735054856368,,,"A Voyage to the Eastern Part of Terra Firma, or the Spanish Main, in South-America, During the Years 1801, 1802, 1803, and 1804. Containing a Description of the Territory Under the Jurisdiction of the Captain General of Caraccas, Composed of the Provinces of Venezuela, Maracaibo, Varinas, Spanish Guiana, Cumana, and the Island of Margaretta	 and Embracing Every Thing Relative to the Discovery, Conquest, Topography, Legislation, Commerce, Finance, Inhabitants and Productions of the Provinces, Together with a View of the Manners and Customs of the Spaniards, and the Savage as Well as Civilized Indians.",François Joseph Pons,1806,Pons F. J. de Washington Irving Samuel L Mitchill Peter Maverick Benjamin Tanner and J. B Poiron. 1806. A Voyage to the Eastern Part of Terra Firma or the Spanish Main in South-America during the Years 1801 1802 1803 and 1804 : Containing a Description of the Territory Under the Jurisdiction of the Captain-General of Caraccas Composed of the Provinces of Venezuela Maracaibo Varinas Spanish Guiana Cumana and the Island of Margaretta and Embracing Every Thing Relative to the Discovery Conquest Topography Legislation Commerce Finance Inhabitants and Productions of the Provinces Together with a View of the Manners and Customs of the Spaniards and the Savage As Well As Civilized Indians. New-York: Printed by and for I. Riley.,misioneros	 Maracaibo	 perlas	 ríos	 puertos	 costumbres	 eclipses	 astronomía	 armada	 tributo	 indios	 vientos,,,,,,,application/pdf,en,Public domain,		
"D012,https://babel.banrepcultural.org/digital/collection/p17054coll10/id/2241,,,""Aviso histórico, político y geográfico, con noticias más importantes del Perú, Tierra Firme, Chile y Nuevo Reino de Granada desde 1535 hasta 1740, por... Gobernador y Comandante General del Reino de Panamá y Presidente de ambas Audiencias. "",Dionisio de Alsedo y Herrera,1740,""Alsedo y Herrera, Dionisio de. (1690-1777), Aviso histórico, político y geográfico con las noticias más particulares del Perú, Tierra Firme, Chile y Nuevo Reyno de Granada, Editorial	Madrid: D. M. Peraltade, 1740."",relación"	 virreyes	 ingleses	 comercio	 conflictos	 política internacional,,,,,,,application/pdf,es,Public domain,									
D013,https://museodellibrovenezolano.libroria.com/descripcion-exacta-de-la-provincia-de-benezuela/,,,Descripcion exacta de la provincia de Venezuela,Joseph Luis de Cisneros,1764,"isneros, Joseph Luis de.. Descripcion exacta de la Provincia de Venezuela. Madrid: Librería General de Victoriano Suárez, 1912.",cultivo	 comercio	 ciudades	 trajes	 costumbres	 comercio	 agricultura	 fauna	 flora,,,,,,,application/pdf,es,Public domain,						
D014,https://babel.banrepcultural.org/digital/collection/p17054coll10/id/3313,,,Historia de las misiones de los llanos de Casanare y los rios Orinoco y Meta,Juan Rivero,1736,"Rivero, J., Guerra Azuola, R. (1883). Historia de las misiones de los llanos de Casanare y los rios Orinoco y Meta. Bogota: Impr. de Silvestre y compañia.  Banco de la República",ríos	 misioneros	 indígenas	 poblamiento	 territorio	 misiones	 evangelización	 reducciones	 jesuitas	 llanos ,,,,,,,application/pdf,es,Public domain,					
D015,https://revistas.unicartagena.edu.co/index.php/eltallerdelahistoria/article/view/732/677,,,Descripción geográfica militar y política de la provincia de Cartagena de Indias,Manuel de Anguiano,1805,"Suárez, Senén & Velasco, Jandhy. (2015). “Descripción geografica militar y política de la provincia de Cartagena de Indias [1805]”, por el ingeniero militar Manuel de Anguiano.. El Taller de la Historia. 7. 457-472. 10.32997/2382-4794-vol.7-num.7-2015-732.",territorio	 maderas	 indios	 comercio	 ríos	 militar	 agricultura	 geografía	 Cartagena,,,,,,,application/pdf,es,Public domain,						
D016,https://revistas.unal.edu.co/index.php/achsc/article/view/36338/37911,,,Noticia Historial de la Provincia de Cartagena de Indias,Diego de Paredo,1772,"Blanco Barros, José Agustín. 1972. Noticia Historial de la provincia de Cartagena de las Indias, año 1772. Por Diego de Peredo. Anuario Colombiano De Historia Social Y De La Cultura	 Núm. 6-7 (1972)	 119-156. Universidad Nacional de Colombia - Sede Bogotá - Facultad de Ciencias Humanas - Departamento de Historia.",ciudad	 administrativo	 hacienda	 religión	 evangelización	 territorio	 geografía	 población	 raza	 indios	 esclavos	 población	 demografía,,,,,,,application/pdf,es,Public domain,
D017,https://www.inciva.gov.co/storage/Clientes/INCIVA/Principal/imagenes/contenidos/13105-CESPEDESIA%20Sup.%20No.4%20Nos.%2045-46%20Ene-Jun%201983%20Pag%205-556-.pdf,,,Memoria instructiva de las provincias de Muzos y Colima,Martín de Urdaneta,1796,"Martin De Urdaneta ""Memoria instructiva de las provincias de Muzos y Colima"". En: Revista Cespedesia. Sumplemento, nº 4, Cali (1983) pp. 479-493.",topografía	 ríos	 clima	 geografía	 población	 demografía	 curatos	 administración	 hacienda	 comercio	 minería,,,,,,,application/pdf,es,Public domain,				
D018,http://bdh-rd.bne.es/viewer.vm?id=0000046090&page=1,,,"Relación Histórica Del Viage a La América Meridional Hecho de Orden De S. Mag. Para Medir Algunos Grados De Meridiano terrestre, Y Venir Por Ellos En Conocimiento De La Verdadera Figura, Y Magnitud De La Tierra, Con Otras Varias Observaciones Astronomicas, Y Phisicas. Madrid: A. Marin. ",Antonio de Ulloa	 Jorge Juan,1748,Juan Jorge and Antonio de Ulloa. 1748. Relacion Historica Del Viage a La America Meridional Hecho De Orden De S. Mag. Para Medir Algunos Grados De Meridiano Terrestre Y Venir Por Ellos En Conocimiento De La Verdadera Figura Y Magnitud De La Tierra Con Otras Varias Observaciones Astronomicas Y Phisicas. Madrid: A. Marin. ,medición	 viaje	 meridiano	 grados	 astronomía	 expedición	 Indias	 Ecuador	 Quito,,,,,,,application/pdf,es,Public domain,					
D019,http://bdh-rd.bne.es/viewer.vm?id=0000041454&page=1,,,"Noticias americanas : entretenimientos phisicos-historicos, sobre la america meridional, y la septentrional oriental : comparacion general de los territorios, climas, y producciones en las tres especies, vegetales, animales, y minerales : con relacion particular de las petrificaciones de cuerpos marinos de los indios naturales de aquellos paises, sus costumbres, y usos : de las antiguedades ...",,1772,"Ulloa, Antonio. 1772. ""Noticias americanas: entretenimientos phisicos hitóricos, sobre la América meridional, y la sptentrional oriental..., Madrid, Imprenta de Don Franscisco Manuel de Mena.",noticias	 naturaleza	 geografía	 Indias	 historia	 ciencia	 bótanica,,,,,,,application/pdf,es,Public domain,								
D020,https://drive.google.com/file/d/1rzZmFvwphlzMXRcYvHYavPBI2UbYdF-7/view?usp=sharing,,,Informe sobre la Nueva Barcelona,Anónimo,1796,"Arellano, Antonio. 1964. Relaciones geográficas de Venezuela, ""Informe sobre la Nueva Barcelona, año de 1796"", págs 477-493. Caracas: Biblioteca de la Academia Nacional de la Historia.",agricultura	 industria	 comercio	 población	 riqueza,,,,,,,application/pdf,es,Public domain,										
D021,https://drive.google.com/file/d/1Rn54y2T3Ug2I8_W5vsgotVN4LBNBk5MZ/view?usp=sharing,,,"Informe sobre la Provincia de Maracaibo, hecha al Consulado de Caracas por el diputado consular del Puerto de Maracaibo",,1764,"Arellano, Antonio. 1964. Relaciones geográficas de Venezuela, ""Informe sobre la provincia de Maracaibo"", págs 461-473. Caracas: Biblioteca de la Academia Nacional de la Historia.",Maracaibo	 política	 economía	 informe	 descripción	 progreso	 bienestar	 administración,,,,,,,application/pdf,es,Public domain,							
D022,https://drive.google.com/file/d/1PC734H4ZeTUJyGFbqNzSHnX8YUASa7bS/view?usp=sharing,,,Noticias de las Provincias de Maracaibo y Barinas,,1787,"Arellano, Antonio. 1964. Relaciones geográficos de Venezuela, ""Noticias de las Provincias de Maracaibo y Barinas"". Caracas: Biblioteca de la Academia Nacional de la Historia.",Barinas	 Maracaibo	 pacificación	 indios	 comercio	 contrabando	 negros,,,,,,,application/pdf,es,Public domain,								
